lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR
-75,169,-0.5527909074,53.7763885454,1.165873532,18.6185476472,363.9226737738,2141.9653140558,2319.7491931342,24.0620063146
-75,170,-0.5785060303,56.2245657164,1.2508377913,19.2306168392,361.2372196552,2149.3527881604,2321.0990952156,24.0473105113
-75,171,-0.6156883439,58.5109886685,1.3227265289,19.7648318446,358.8421648416,2155.3602413408,2321.9543242312,26.049940745
-75,172,-0.6293662951,61.2994232374,1.4128919309,20.5717477095,357.5767017789,2158.8943762353,2323.9209259157,35.5271904469
-75,173,-0.8553772589,63.3605876571,1.526018775,21.9131203062,349.1059106861,2169.7291294276,2325.417924202,30.5973144531
-75,174,-0.8495192847,63.5047592273,1.5430375707,22.1295232199,347.9541617396,2170.1485229927,2324.9367276289,29.2781710625
-75,175,-0.8448542883,63.4898619649,1.5610941415,22.3951022526,346.5746192311,2170.7398787974,2324.3696462942,29.6870948792
-75,176,-0.853041872,63.352351569,1.5799772412,22.6967148571,345.0143465178,2171.3904080159,2323.7176919611,29.4339724541
-75,177,-0.8780620667,63.0991333045,1.5989628864,23.0133268333,343.3902062354,2171.9155441248,2322.8462903277,28.701752615
-75,178,-0.9115464125,62.713587312,1.6170296901,23.3186173703,341.8749457131,2172.3590051293,2321.7306328025,27.7150270939
-75,179,-0.9482484348,62.1425195648,1.6325125497,23.5772609934,340.7181699487,2172.4494133049,2320.4241242519,27.1535610676
-74,-180,-1.0273528657,60.1029690924,1.7146571379,25.1567807093,337.0284835978,2174.2482597855,2314.2286008313,29.0921530724
-74,-179,-1.0601042816,59.104761376,1.7276677525,25.2355037581,336.9112323143,2172.6661115497,2312.4156369128,28.9502887726
-74,-178,-1.1042467584,58.1101825706,1.7394380286,25.2674916647,336.9785991655,2170.8316585741,2310.534455527,30.2709147453
-74,-177,-1.1484559024,57.2052822693,1.7510365908,25.2704320214,337.0446178992,2168.9566635104,2308.6660807124,30.1768239975
-74,-176,-1.191650567,56.4028121937,1.7618601783,25.2402900411,337.0996245668,2167.0636121445,2306.8498865573,29.5677395344
-74,-175,-1.2310779029,55.6934903379,1.7706287818,25.1630311329,337.1783918277,2165.2820559853,2305.1607393377,27.228716135
-74,-174,-1.2653322171,55.0657456169,1.7759626069,25.0226952184,337.3139234514,2163.6337516643,2303.6066412271,27.7315797329
-74,-173,-1.2944457607,54.5049750066,1.776688904,24.8071373698,337.5372812602,2162.1171104258,2302.2184268297,25.1162165165
-74,-172,-1.3199147033,54.0049632556,1.7722215349,24.5151914622,337.837056445,2160.7879666276,2301.0287266647,24.8724247456
-74,-171,-1.3411574936,53.558450788,1.7628959606,24.1512026866,338.1706954001,2159.7461971384,2300.1188454927,30.2506822109
-74,-170,-1.350810003,53.5141271198,1.7221863773,23.2008782058,341.4368725877,2155.2420597254,2298.0400918564,20.3209463954
-74,-169,-1.3658567585,53.0484189796,1.6986604252,22.6550321603,342.3985608764,2154.0917625342,2297.2405016134,19.7458270788
-74,-168,-1.3786786689,52.481606337,1.6715142767,22.0780970656,343.3793373368,2153.2650647922,2296.6724409561,18.6713761687
-74,-167,-1.3896365991,51.8429473123,1.6420291793,21.4974961586,344.2883762228,2152.5910552884,2296.1676356025,18.2457626462
-74,-166,-1.4016080907,51.1776244446,1.6114247309,20.9346124602,345.0820685571,2152.0943715544,2295.7093964823,17.7618042231
-74,-165,-1.4135621788,50.5397021823,1.5812867449,20.419236123,345.7036050345,2151.9372755475,2295.4590379893,17.2058427334
-74,-164,-1.4258403107,49.9601308164,1.5537858533,19.9885396898,346.0726208951,2151.8513219059,2295.1710905962,17.3325517774
-74,-163,-1.4357527691,49.4811539494,1.5312053355,19.6715299065,346.1448366212,2151.725303928,2294.8285450051,17.9160878658
-74,-162,-1.443965936,49.1168945431,1.5162764025,19.5007296095,345.8531556813,2151.7242766815,2294.5421120897,17.7424272299
-74,-161,-1.4514130941,48.910929019,1.5100035531,19.4923945387,345.2021981709,2151.7621825534,2294.1911279311,18.058998704
-74,-160,-1.4587256811,48.8639764815,1.5119424812,19.6394642207,344.2432180805,2151.7933256665,2293.7092591323,17.9962033629
-74,-159,-1.4667814143,48.9777079605,1.5191717218,19.920723649,343.0438957105,2151.8176508942,2293.0262168654,17.9519244432
-74,-158,-1.470724932,49.3215537442,1.5268234078,20.2954265346,341.8145896222,2151.6803061859,2292.2070936103,18.2259613276
-74,-157,-1.4695258228,49.8765537708,1.5314990058,20.7129762559,340.8793692183,2151.4179718381,2291.4571012245,18.5669269562
-74,-156,-1.4630560445,50.5702395792,1.5315933489,21.1319034586,340.4318782066,2151.0206778266,2290.6338271708,18.7404783368
-74,-155,-1.4592412214,51.350585764,1.5270974193,21.5357727073,340.3993935708,2150.7590223126,2290.0051874602,18.1689164639
-74,-154,-1.4601942461,52.1563980522,1.5180661619,21.9205326164,340.6325189758,2150.6340842915,2289.2916074521,18.2018814087
-74,-153,-1.4606985836,52.8808515755,1.5047793939,22.2896397776,341.054279358,2150.5693528535,2288.3014145665,17.6447097659
-74,-152,-1.4623572468,53.3919813453,1.4864410803,22.6430094917,341.7047809424,2150.6425948006,2287.2958305798,18.1159975529
-74,-151,-1.466819553,53.5404651052,1.4610888198,22.9653467593,342.779410763,2150.8784161431,2286.103235385,18.0037767887
-74,-150,-1.4719728669,53.4310542544,1.4318766313,23.2140538468,344.5054917859,2151.0412088838,2284.7521094609,17.579695344
-74,-149,-1.4717879316,53.2522929082,1.4069172908,23.4883483097,346.1503598875,2150.7742844557,2283.3401951344,17.3740584254
-74,-148,-1.463771461,52.444356186,1.3907426966,24.0274120769,346.2062631301,2148.5883520642,2281.60923909,17.0513473749
-74,-147,-1.4494821527,52.0974603869,1.3781677279,24.5800383881,345.6255186693,2148.0834839008,2280.9930163548,15.7245607376
-74,-146,-1.4523614371,53.1654778842,1.3712821612,24.7975886616,345.7158175744,2150.0825622283,2281.7284067649,15.8191980124
-74,-145,-1.4589703691,54.6706345541,1.3746664489,24.7774948144,345.8418093711,2150.6369569412,2281.8840972588,16.1738536656
-74,-144,-1.4497446739,56.3575091227,1.3837843538,24.6528390946,345.5747900736,2150.3752987531,2282.1013492179,15.6103128493
-74,-143,-1.4331082001,58.2672970323,1.4012611314,24.4948227815,344.8826891747,2149.5450864429,2282.62094248,15.4327448606
-74,-142,-1.4146056702,60.3127452553,1.4217938901,24.3273685314,343.9664248815,2148.6774688067,2282.8537170768,15.6648470163
-74,-141,-1.3822630562,58.5175004112,1.4015100636,23.2304762589,344.5328850869,2140.7774879763,2278.3001313781,10.210401694
-74,-140,-1.4325692382,60.0740947848,1.4440063842,23.9407113852,349.1349329108,2147.3351361372,2286.2913215387,14.7087756991
-74,-139,-1.454267425,62.7090771448,1.4913672008,24.3214962267,347.0668671415,2148.8695889983,2287.4029142151,14.2095430493
-74,-138,-1.4788501271,65.5458135899,1.5426237866,24.9118513426,345.1056839609,2151.7033681714,2287.8424123515,14.2538407445
-74,-59,-0.5095894286,71.0701269204,2.4786367192,31.9503615557,316.2751968849,2173.4375684492,2323.2401272423,24.3732185364
-74,-58,-0.7638055712,69.1300802528,2.4364476722,31.6577697302,323.2014148743,2174.311745305,2323.7242038527,28.5833104451
-74,-57,-1.2347766486,70.2378422977,2.4156337503,32.4182483591,319.8774524546,2179.4554617861,2325.4375824961,19.9284834862
-74,-39,-1.7590025941,49.6069047645,1.5982924099,22.9707356246,360.5536583361,2136.7977421071,2317.984302989,18.0401716232
-74,-38,-1.7429881386,49.1400984366,1.5673696097,22.8025996577,360.6334231198,2135.2111769787,2317.555730483,17.1366591454
-74,-37,-1.7261259698,49.0926029313,1.540316401,22.7139047127,360.6061000436,2133.0463935067,2316.5467449802,15.3673324585
-74,-36,-1.7067599786,49.4281198987,1.5167231636,22.668385056,360.5644903957,2130.9294371512,2315.3170869907,14.3273715973
-74,-35,-1.6880946203,50.0799803105,1.4959440435,22.6203648928,360.5029880377,2129.9367461844,2314.4995078923,13.8799972534
-74,-34,-1.6700199778,51.0631397051,1.4797464535,22.5312161071,360.0950673217,2128.9802945257,2313.2076337898,18.4129371643
-74,-33,-1.6474933868,52.3630236298,1.4692762144,22.3562513002,358.9140670225,2128.13317136,2311.1403544271,18.4451465607
-74,-32,-1.620668845,53.8146214949,1.4608859385,22.0239129,356.7683589525,2128.4534967562,2308.9063130483,19.4590425491
-74,-31,-1.5918124127,55.2220135758,1.4498598543,21.4757563811,353.7004054729,2129.3415675197,2305.9644132584,20.0047016144
-74,-30,-1.6606650126,55.5911671346,1.4291179062,19.8701500122,349.0161171218,2146.3557944877,2311.0537844415,12.6874505281
-74,-29,-1.6339888721,56.1611501375,1.4227741908,19.335833242,347.4240951525,2146.8210517892,2308.9865933418,13.369131883
-74,-28,-1.430884634,56.6235814471,1.3692948623,17.7290182364,349.3463153932,2144.9858378738,2308.5110847289,16.2685785294
-74,-27,-1.3696120334,55.6290044167,1.3783787187,18.0144405137,354.9007886321,2139.8103469491,2307.6841382919,17.0802961588
-74,172,-0.979157701,63.5119603653,1.5547348003,23.8717558751,345.7520721639,2177.9722137474,2322.4359491743,21.4607073069
-74,173,-0.9390942825,63.9760411256,1.590678009,23.899849425,343.3894354729,2177.144283473,2321.6551465641,31.3691772461
-74,174,-0.9276069598,63.7555843622,1.6044181609,23.9617335255,342.7987431768,2176.5683939359,2320.9631400815,30.0566640854
-74,175,-0.9190060171,63.4059405043,1.62182804,24.1207684816,341.887329109,2176.28186542,2320.2608036555,30.0911746025
-74,176,-0.9243639743,62.9583699887,1.6412595158,24.3383978336,340.754882382,2176.2333361424,2319.4891610242,30.1028574944
-74,177,-0.9404697767,62.4157075313,1.6613616092,24.5796805439,339.5453897784,2176.0999141053,2318.4974628228,30.0643431664
-74,178,-0.9667389573,61.7690901313,1.6810019663,24.8138997526,338.416065531,2175.8460300121,2317.2811076118,30.3523986816
-74,179,-1.0010103572,61.001660677,1.6990747453,25.0137169242,337.5321215133,2175.327735934,2315.8666600561,29.6221705437
-73,-180,-1.0850802851,59.6953472847,1.7696645615,26.2988868968,334.2660002261,2175.0756507135,2309.8472288316,30.0752174377
-73,-179,-1.108329454,58.2861742889,1.7529525274,26.0332592037,337.8262529844,2172.4237303113,2307.4781914764,22.3642147779
-73,-178,-1.151120905,57.5574502788,1.8002832063,26.3720722181,334.337050315,2171.1592034003,2306.2930854116,31.4001654625
-73,-177,-1.1931364079,56.5633712882,1.813299062,26.3449748469,334.6118197091,2168.9792208135,2304.4457089528,31.8178059578
-73,-176,-1.2287900011,55.3958058688,1.7957629792,25.8311666528,338.1918671557,2164.9957430487,2301.6953941082,21.3149107695
-73,-175,-1.2712491124,54.8699386453,1.8314234511,26.1427225554,335.508472134,2164.6705349792,2300.8777362996,24.2574146748
-73,-174,-1.2900645779,54.054019238,1.8067133124,25.3833844772,339.362927136,2159.968789707,2298.0285444816,20.5774328709
-73,-173,-1.3101597111,53.5819233467,1.8022231882,25.0376979913,340.2474636427,2157.7657091865,2296.4887838167,20.1545306444
-73,-172,-1.3270038894,53.2028023849,1.789838384,24.6079816684,341.2883252386,2155.8950312764,2295.2324426608,20.4286549687
-73,-171,-1.341911739,52.8657531675,1.769974818,24.0944810094,342.4877212755,2154.4200815096,2294.3083149975,21.0994532108
-73,-170,-1.3533161054,52.5076072042,1.7434912037,23.5111863118,343.8219950967,2153.2744392435,2293.6669517597,21.8934776783
-73,-169,-1.3613873223,52.044401837,1.7116781,22.8765732372,345.2268573665,2152.3374363186,2293.1569714028,20.1798378229
-73,-168,-1.3665430978,51.4463466556,1.6761671368,22.2122709873,346.6168508549,2151.6733364629,2292.8349211264,19.348678112
-73,-167,-1.3699761889,50.7312258888,1.6384030184,21.5470848526,347.8967934611,2151.2308972605,2292.6432559552,19.3950069547
-73,-166,-1.3747217547,49.9578368659,1.6001938666,20.9073585811,348.9863280405,2151.0233605384,2292.5520987645,18.2590736747
-73,-165,-1.3808988993,49.1891129957,1.5634873424,20.3227420337,349.8394198449,2151.1165354697,2292.6449498553,18.4558857679
-73,-164,-1.3875334256,48.4620378226,1.5307949028,19.8247060803,350.4055740195,2151.1721892136,2292.6281560082,18.8135159612
-73,-163,-1.3915164924,47.8062983965,1.5053633966,19.4475763553,350.6354905478,2151.1427635961,2292.5020935446,19.0542293787
-73,-162,-1.3940697977,47.2436057473,1.4904833314,19.2326448029,350.476469117,2151.2205316097,2292.4199014155,19.6631195545
-73,-161,-1.3954004453,46.8051092815,1.488360498,19.2082603081,349.8775660653,2151.247088368,2292.1680014075,19.6981153488
-73,-160,-1.3956977074,46.467541941,1.4976461153,19.3782229003,348.8908662672,2151.3045343993,2291.9571905714,18.8499174118
-73,-159,-1.3950817555,46.2296390614,1.5135304775,19.7273093561,347.5818548317,2151.2407340986,2291.5080154969,19.1091037393
-73,-158,-1.3902291628,46.1147112991,1.5302520301,20.2009599333,346.1258008201,2151.0314296487,2290.9505083445,20.188139677
-73,-157,-1.3827834167,46.1340899496,1.5432775858,20.719167809,344.8424105582,2150.7990809196,2290.4932450976,20.3618711829
-73,-156,-1.3747757221,46.290626947,1.5507145592,21.2200749113,343.9304836997,2150.3388201123,2289.6558541657,19.0850489736
