Gephyrocapsa huxleyi HET,lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR
1130,-64,-170,-0.6302923123,59.3879585464,2.1685703333,30.9622534157,303.964002075,2187.5149943138,2301.7298275498,0.0098580543
96109,-64,175,1.2363834843,26.2321904864,1.4218147931,24.3505415382,330.7186149241,2144.2439984407,2280.6265350955,75.7801752736
796,-63,-142,-0.5423835287,43.4887049953,1.6832767355,24.9074319065,355.589080133,2150.5320805399,2289.2771731259,2.7268776961
1180,-63,-142,-0.7687070244,43.9533628637,1.7141468759,25.0920204554,355.1326776286,2158.5494363834,2292.5224989585,0.5538054209
441,-63,-66,1.9326910889,31.6850839808,1.56493202,23.643662046,340.4401807878,2129.0275809715,2284.5460969325,39.4301868684
30988,-63,-66,0.9229104916,37.3685205315,1.802074662,25.2701924237,329.7393444979,2164.8010940928,2302.1945576986,1.3364047192
5812,-63,-66,-0.5349544486,52.3278683956,2.1128173788,30.1487960282,290.3508336745,2204.215356589,2314.9606220537,0.034181903
455,-63,-65,1.8211331889,35.4113355602,1.5741227314,22.8487818108,341.2859918029,2132.0727275876,2287.5262653791,38.6240959042
455,-63,-64,1.7059086408,38.3983115895,1.5799957719,22.0157589474,341.6532509383,2137.4126908319,2291.7729947681,37.6876719936
12796,-63,-64,1.6803153526,39.6704284784,1.6113930156,22.3213489339,337.9824160076,2148.4347793283,2297.0640344239,7.5456440182
2316,-63,-64,0.714936971,44.6738898622,1.7983372273,23.5613741244,327.0286156614,2169.8887985083,2304.8540930613,1.0837523386
9597,-63,-64,-0.3147084041,54.0710169018,1.993184423,26.6021314848,303.9644746547,2195.4580875384,2312.8073120459,0.1632722028
119403,-63,172,2.0179730339,23.1738398487,1.551113381,24.2255006273,328.5856772879,2137.7279025604,2279.3441876017,76.4480728148
2906,-62,-170,1.794110053,18.9358397362,1.4038301676,22.279236417,361.6698030614,2128.6413339605,2286.1289652418,31.7886424122
2199,-62,-170,1.2258438439,23.8537467213,1.6029597737,24.0671767727,361.0429949704,2137.5854585268,2288.2330643596,3.0178030762
846,-62,-170,0.7546415049,35.1447047589,1.9435208318,27.3655963166,338.830742147,2151.3218492138,2286.700702466,0.331243371
8630,-62,-170,0.3447572458,40.0610955402,2.075951358,29.0326952945,324.5805402806,2165.6756745887,2291.8920781978,0.0117103086
1018,-62,-170,0.7717287769,43.7108724368,2.1410305584,30.691589489,294.2463030784,2181.7638355228,2299.1476891226,0.0002179979
710,-62,-140,-0.0416874511,41.8814508818,1.791533729,24.8441049318,352.7937079399,2149.5562486854,2291.7353846823,15.7467907181
